Institution	Category	Area	Value
Birkbeck College, University of London	History of Philosophy	19th Century Continental	
Birkbeck College, University of London	History of Philosophy	20th Century Continental	
Birkbeck College, University of London	History of Philosophy	History of Analytic	
Birkbeck College, University of London	History of Philosophy	American Pragmatism	
Birkbeck College, University of London	Other Areas	Feminist Philosophy	
Birkbeck College, University of London	Other Areas	Chinese Philosophy	
Birkbeck College, University of London	Other Areas	Philosophy of Race	
Boston University	Metaphysics & Epistemology	Philosophy of Language	
Boston University	Metaphysics & Epistemology	Philosophy of Mind	
Boston University	Metaphysics & Epistemology	Metaphysics	
Boston University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Boston University	Metaphysics & Epistemology	Philosophical Logic	
Boston University	Metaphysics & Epistemology	Philosophy of Action	
Boston University	Metaphysics & Epistemology	Philosophy of Religion	
Boston University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
Boston University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Boston University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Boston University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Boston University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Boston University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Boston University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Boston University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Boston University	Theory of Value	Normative Ethics	4
Boston University	Theory of Value	Metaethics & Moral Psychology	4
Boston University	Theory of Value	Applied Ethics	
Boston University	Theory of Value	Political Philosophy	
Boston University	Theory of Value	Philosophy of Law	
Boston University	Theory of Value	Philosophy of Art	
Boston University	History of Philosophy	Acnient Philosophy	
Boston University	History of Philosophy	Medieval Philosophy	
Boston University	History of Philosophy	Early Modern: 17th Century	5
Boston University	History of Philosophy	Early Modern: 18th Century	4
Boston University	History of Philosophy	Kant	3
Boston University	History of Philosophy	19th Century Continental	2
Boston University	History of Philosophy	20th Century Continental	2
Boston University	History of Philosophy	History of Analytic	2
Boston University	History of Philosophy	American Pragmatism	
Boston University	Other Areas	Feminist Philosophy	2
Boston University	Other Areas	Chinese Philosophy	
Boston University	Other Areas	Philosophy of Race	
Brown University	Metaphysics & Epistemology	Philosophy of Language	3
Brown University	Metaphysics & Epistemology	Philosophy of Mind	3
Brown University	Metaphysics & Epistemology	Metaphysics	4
Brown University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	3
Brown University	Metaphysics & Epistemology	Philosophical Logic	3
Brown University	Metaphysics & Epistemology	Philosophy of Action	4
Brown University	Metaphysics & Epistemology	Philosophy of Religion	
Brown University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Brown University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Brown University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Brown University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Brown University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Brown University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Brown University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	3
Brown University	Philosophy of the Sciences and Mathematics	Mathematical Logic	5
Brown University	Theory of Value	Normative Ethics	3
Brown University	Theory of Value	Metaethics & Moral Psychology	2
Brown University	Theory of Value	Applied Ethics	4
Brown University	Theory of Value	Political Philosophy	2
Brown University	Theory of Value	Philosophy of Law	
Brown University	Theory of Value	Philosophy of Art	
Brown University	History of Philosophy	Acnient Philosophy	4
Brown University	History of Philosophy	Medieval Philosophy	
Brown University	History of Philosophy	Early Modern: 17th Century	
Brown University	History of Philosophy	Early Modern: 18th Century	5
Brown University	History of Philosophy	Kant	1
Brown University	History of Philosophy	19th Century Continental	2
Brown University	History of Philosophy	20th Century Continental	
Brown University	History of Philosophy	History of Analytic	3
Brown University	History of Philosophy	American Pragmatism	
Brown University	Other Areas	Feminist Philosophy	
Brown University	Other Areas	Chinese Philosophy	
Brown University	Other Areas	Philosophy of Race	
Cambridge University	Metaphysics & Epistemology	Philosophy of Language	4
Cambridge University	Metaphysics & Epistemology	Philosophy of Mind	
Cambridge University	Metaphysics & Epistemology	Metaphysics	3
Cambridge University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
Cambridge University	Metaphysics & Epistemology	Philosophical Logic	4
Cambridge University	Metaphysics & Epistemology	Philosophy of Action	4
Cambridge University	Metaphysics & Epistemology	Philosophy of Religion	
Cambridge University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	2
Cambridge University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	3
Cambridge University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	3
Cambridge University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	1
Cambridge University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Cambridge University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	4
Cambridge University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	4
Cambridge University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Cambridge University	Theory of Value	Normative Ethics	4
Cambridge University	Theory of Value	Metaethics & Moral Psychology	4
Cambridge University	Theory of Value	Applied Ethics	4
Cambridge University	Theory of Value	Political Philosophy	4
Cambridge University	Theory of Value	Philosophy of Law	1
Cambridge University	Theory of Value	Philosophy of Art	
Cambridge University	History of Philosophy	Acnient Philosophy	2
Cambridge University	History of Philosophy	Medieval Philosophy	4
Cambridge University	History of Philosophy	Early Modern: 17th Century	5
Cambridge University	History of Philosophy	Early Modern: 18th Century	
Cambridge University	History of Philosophy	Kant	2
Cambridge University	History of Philosophy	19th Century Continental	
Cambridge University	History of Philosophy	20th Century Continental	
Cambridge University	History of Philosophy	History of Analytic	2
Cambridge University	History of Philosophy	American Pragmatism	
Cambridge University	Other Areas	Feminist Philosophy	1
Cambridge University	Other Areas	Chinese Philosophy	
Cambridge University	Other Areas	Philosophy of Race	
Carnegie Mellon University	Metaphysics & Epistemology	Philosophy of Language	4
Carnegie Mellon University	Metaphysics & Epistemology	Philosophy of Mind	
Carnegie Mellon University	Metaphysics & Epistemology	Metaphysics	
Carnegie Mellon University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
Carnegie Mellon University	Metaphysics & Epistemology	Philosophical Logic	3
Carnegie Mellon University	Metaphysics & Epistemology	Philosophy of Action	
Carnegie Mellon University	Metaphysics & Epistemology	Philosophy of Religion	
Carnegie Mellon University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	4
Carnegie Mellon University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Carnegie Mellon University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Carnegie Mellon University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	1
Carnegie Mellon University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
Carnegie Mellon University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	1
Carnegie Mellon University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	3
Carnegie Mellon University	Philosophy of the Sciences and Mathematics	Mathematical Logic	2
Carnegie Mellon University	Theory of Value	Normative Ethics	
Carnegie Mellon University	Theory of Value	Metaethics & Moral Psychology	
Carnegie Mellon University	Theory of Value	Applied Ethics	
Carnegie Mellon University	Theory of Value	Political Philosophy	
Carnegie Mellon University	Theory of Value	Philosophy of Law	
Carnegie Mellon University	Theory of Value	Philosophy of Art	
Carnegie Mellon University	History of Philosophy	Acnient Philosophy	
Carnegie Mellon University	History of Philosophy	Medieval Philosophy	
Carnegie Mellon University	History of Philosophy	Early Modern: 17th Century	
Carnegie Mellon University	History of Philosophy	Early Modern: 18th Century	
Carnegie Mellon University	History of Philosophy	Kant	
Carnegie Mellon University	History of Philosophy	19th Century Continental	
Carnegie Mellon University	History of Philosophy	20th Century Continental	
Carnegie Mellon University	History of Philosophy	History of Analytic	4
Carnegie Mellon University	History of Philosophy	American Pragmatism	
Carnegie Mellon University	Other Areas	Feminist Philosophy	
Carnegie Mellon University	Other Areas	Chinese Philosophy	
Carnegie Mellon University	Other Areas	Philosophy of Race	
City University of New York Graduate Center	Metaphysics & Epistemology	Philosophy of Language	2
City University of New York Graduate Center	Metaphysics & Epistemology	Philosophy of Mind	3
City University of New York Graduate Center	Metaphysics & Epistemology	Metaphysics	3
City University of New York Graduate Center	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	3
City University of New York Graduate Center	Metaphysics & Epistemology	Philosophical Logic	1
City University of New York Graduate Center	Metaphysics & Epistemology	Philosophy of Action	
City University of New York Graduate Center	Metaphysics & Epistemology	Philosophy of Religion	
City University of New York Graduate Center	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
City University of New York Graduate Center	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
City University of New York Graduate Center	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
City University of New York Graduate Center	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	2
City University of New York Graduate Center	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	2
City University of New York Graduate Center	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
City University of New York Graduate Center	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	4
City University of New York Graduate Center	Philosophy of the Sciences and Mathematics	Mathematical Logic	3
City University of New York Graduate Center	Theory of Value	Normative Ethics	4
City University of New York Graduate Center	Theory of Value	Metaethics & Moral Psychology	4
City University of New York Graduate Center	Theory of Value	Applied Ethics	4
City University of New York Graduate Center	Theory of Value	Political Philosophy	4
City University of New York Graduate Center	Theory of Value	Philosophy of Law	
City University of New York Graduate Center	Theory of Value	Philosophy of Art	1
City University of New York Graduate Center	History of Philosophy	Acnient Philosophy	
City University of New York Graduate Center	History of Philosophy	Medieval Philosophy	
City University of New York Graduate Center	History of Philosophy	Early Modern: 17th Century	
City University of New York Graduate Center	History of Philosophy	Early Modern: 18th Century	
City University of New York Graduate Center	History of Philosophy	Kant	
City University of New York Graduate Center	History of Philosophy	19th Century Continental	
City University of New York Graduate Center	History of Philosophy	20th Century Continental	
City University of New York Graduate Center	History of Philosophy	History of Analytic	3
City University of New York Graduate Center	History of Philosophy	American Pragmatism	
City University of New York Graduate Center	Other Areas	Feminist Philosophy	1
City University of New York Graduate Center	Other Areas	Chinese Philosophy	2
City University of New York Graduate Center	Other Areas	Philosophy of Race	
Columbia University	Metaphysics & Epistemology	Philosophy of Language	2
Columbia University	Metaphysics & Epistemology	Philosophy of Mind	3
Columbia University	Metaphysics & Epistemology	Metaphysics	3
Columbia University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
Columbia University	Metaphysics & Epistemology	Philosophical Logic	3
Columbia University	Metaphysics & Epistemology	Philosophy of Action	
Columbia University	Metaphysics & Epistemology	Philosophy of Religion	
Columbia University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	4
Columbia University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	3
Columbia University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Columbia University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Columbia University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
Columbia University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	3
Columbia University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	5
Columbia University	Philosophy of the Sciences and Mathematics	Mathematical Logic	5
Columbia University	Theory of Value	Normative Ethics	4
Columbia University	Theory of Value	Metaethics & Moral Psychology	4
Columbia University	Theory of Value	Applied Ethics	
Columbia University	Theory of Value	Political Philosophy	3
Columbia University	Theory of Value	Philosophy of Law	
Columbia University	Theory of Value	Philosophy of Art	
Columbia University	History of Philosophy	Acnient Philosophy	3
Columbia University	History of Philosophy	Medieval Philosophy	
Columbia University	History of Philosophy	Early Modern: 17th Century	4
Columbia University	History of Philosophy	Early Modern: 18th Century	
Columbia University	History of Philosophy	Kant	
Columbia University	History of Philosophy	19th Century Continental	1
Columbia University	History of Philosophy	20th Century Continental	1
Columbia University	History of Philosophy	History of Analytic	4
Columbia University	History of Philosophy	American Pragmatism	
Columbia University	Other Areas	Feminist Philosophy	
Columbia University	Other Areas	Chinese Philosophy	
Columbia University	Other Areas	Philosophy of Race	1
Cornell University	Metaphysics & Epistemology	Philosophy of Language	4
Cornell University	Metaphysics & Epistemology	Philosophy of Mind	3
Cornell University	Metaphysics & Epistemology	Metaphysics	
Cornell University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
Cornell University	Metaphysics & Epistemology	Philosophical Logic	4
Cornell University	Metaphysics & Epistemology	Philosophy of Action	2
Cornell University	Metaphysics & Epistemology	Philosophy of Religion	
Cornell University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Cornell University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Cornell University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Cornell University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Cornell University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	3
Cornell University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Cornell University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	5
Cornell University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Cornell University	Theory of Value	Normative Ethics	4
Cornell University	Theory of Value	Metaethics & Moral Psychology	2
Cornell University	Theory of Value	Applied Ethics	4
Cornell University	Theory of Value	Political Philosophy	4
Cornell University	Theory of Value	Philosophy of Law	2
Cornell University	Theory of Value	Philosophy of Art	
Cornell University	History of Philosophy	Acnient Philosophy	2
Cornell University	History of Philosophy	Medieval Philosophy	
Cornell University	History of Philosophy	Early Modern: 17th Century	5
Cornell University	History of Philosophy	Early Modern: 18th Century	
Cornell University	History of Philosophy	Kant	3
Cornell University	History of Philosophy	19th Century Continental	4
Cornell University	History of Philosophy	20th Century Continental	
Cornell University	History of Philosophy	History of Analytic	
Cornell University	History of Philosophy	American Pragmatism	
Cornell University	Other Areas	Feminist Philosophy	2
Cornell University	Other Areas	Chinese Philosophy	
Cornell University	Other Areas	Philosophy of Race	
Duke University	Metaphysics & Epistemology	Philosophy of Language	
Duke University	Metaphysics & Epistemology	Philosophy of Mind	
Duke University	Metaphysics & Epistemology	Metaphysics	
Duke University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Duke University	Metaphysics & Epistemology	Philosophical Logic	
Duke University	Metaphysics & Epistemology	Philosophy of Action	
Duke University	Metaphysics & Epistemology	Philosophy of Religion	
Duke University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	5
Duke University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Duke University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	3
Duke University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	1
Duke University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	4
Duke University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Duke University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Duke University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Duke University	Theory of Value	Normative Ethics	3
Duke University	Theory of Value	Metaethics & Moral Psychology	3
Duke University	Theory of Value	Applied Ethics	4
Duke University	Theory of Value	Political Philosophy	4
Duke University	Theory of Value	Philosophy of Law	
Duke University	Theory of Value	Philosophy of Art	
Duke University	History of Philosophy	Acnient Philosophy	
Duke University	History of Philosophy	Medieval Philosophy	
Duke University	History of Philosophy	Early Modern: 17th Century	5
Duke University	History of Philosophy	Early Modern: 18th Century	5
Duke University	History of Philosophy	Kant	
Duke University	History of Philosophy	19th Century Continental	
Duke University	History of Philosophy	20th Century Continental	
Duke University	History of Philosophy	History of Analytic	
Duke University	History of Philosophy	American Pragmatism	
Duke University	Other Areas	Feminist Philosophy	
Duke University	Other Areas	Chinese Philosophy	1
Duke University	Other Areas	Philosophy of Race	
Florida State University	Metaphysics & Epistemology	Philosophy of Language	
Florida State University	Metaphysics & Epistemology	Philosophy of Mind	
Florida State University	Metaphysics & Epistemology	Metaphysics	4
Florida State University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	
Florida State University	Metaphysics & Epistemology	Philosophical Logic	
Florida State University	Metaphysics & Epistemology	Philosophy of Action	1
Florida State University	Metaphysics & Epistemology	Philosophy of Religion	
Florida State University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Florida State University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Florida State University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Florida State University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Florida State University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Florida State University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Florida State University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Florida State University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Florida State University	Theory of Value	Normative Ethics	4
Florida State University	Theory of Value	Metaethics & Moral Psychology	4
Florida State University	Theory of Value	Applied Ethics	
Florida State University	Theory of Value	Political Philosophy	
Florida State University	Theory of Value	Philosophy of Law	
Florida State University	Theory of Value	Philosophy of Art	
Florida State University	History of Philosophy	Acnient Philosophy	
Florida State University	History of Philosophy	Medieval Philosophy	
Florida State University	History of Philosophy	Early Modern: 17th Century	
Florida State University	History of Philosophy	Early Modern: 18th Century	
Florida State University	History of Philosophy	Kant	
Florida State University	History of Philosophy	19th Century Continental	
Florida State University	History of Philosophy	20th Century Continental	
Florida State University	History of Philosophy	History of Analytic	
Florida State University	History of Philosophy	American Pragmatism	
Florida State University	Other Areas	Feminist Philosophy	2
Florida State University	Other Areas	Chinese Philosophy	
Florida State University	Other Areas	Philosophy of Race	
Georgetown University	Metaphysics & Epistemology	Philosophy of Language	
Georgetown University	Metaphysics & Epistemology	Philosophy of Mind	
Georgetown University	Metaphysics & Epistemology	Metaphysics	
Georgetown University	Metaphysics & Epistemology	Epistemology (incl. formal epistemology)	4
Georgetown University	Metaphysics & Epistemology	Philosophical Logic	
Georgetown University	Metaphysics & Epistemology	Philosophy of Action	
Georgetown University	Metaphysics & Epistemology	Philosophy of Religion	4
Georgetown University	Philosophy of the Sciences and Mathematics	General Philosophy of Science	
Georgetown University	Philosophy of the Sciences and Mathematics	Philosophy of Physics	
Georgetown University	Philosophy of the Sciences and Mathematics	Philosophy of Biology	
Georgetown University	Philosophy of the Sciences and Mathematics	Philosophy of Social Sciences	
Georgetown University	Philosophy of the Sciences and Mathematics	Philosophy of Cognitive Science	
Georgetown University	Philosophy of the Sciences and Mathematics	Decision, Rational Choice, & Game Theory	
Georgetown University	Philosophy of the Sciences and Mathematics	Philosophy of Mathematics	
Georgetown University	Philosophy of the Sciences and Mathematics	Mathematical Logic	
Georgetown University	Theory of Value	Normative Ethics	4
Georgetown University	Theory of Value	Metaethics & Moral Psychology	4
Georgetown University	Theory of Value	Applied Ethics	3
Georgetown University	Theory of Value	Political Philosophy	3
Georgetown University	Theory of Value	Philosophy of Law	2
Georgetown University	Theory of Value	Philosophy of Art	
Georgetown University	History of Philosophy	Acnient Philosophy	
Georgetown University	History of Philosophy	Medieval Philosophy	
Georgetown University	History of Philosophy	Early Modern: 17th Century	
Georgetown University	History of Philosophy	Early Modern: 18th Century	
Georgetown University	History of Philosophy	Kant	3
